"geneID"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Dock8"	879.0072752	1.954029935	0.390337936	5.005995452	5.56e-07	0.000195794
"Lipf"	64.34732904	10.02093133	1.932822688	5.184609736	2.16e-07	9.39e-05
"Stambpl1"	523.5101987	0.703154205	0.177595523	3.959301413	7.52e-05	0.009458593
"Lipa"	4594.567053	0.515623152	0.116111179	4.440770967	8.96e-06	0.002014245
"Pik3ap1"	350.4213904	1.383482374	0.415929438	3.326242981	0.000880252	0.060023929
"Ubtd1"	420.2618521	1.121791593	0.258785162	4.334837385	1.46e-05	0.003012197
"Pi4k2a"	2845.871509	0.335943892	0.094297473	3.56259699	0.000367204	0.032683104
"Crtac1"	341.967515	3.329319149	0.688650739	4.834553948	1.33e-06	0.000417904
"Cnnm2"	914.0693587	0.734378213	0.197222301	3.723606354	0.000196397	0.019457075
"Itih5"	15963.9583	0.577913524	0.108806849	5.311370819	1.09e-07	5.11e-05
"Olfm1"	3391.480497	0.47945384	0.109918683	4.361895764	1.29e-05	0.002760139
"Slc25a25"	568.988357	0.893152974	0.271418003	3.290691715	0.000999414	0.065508085
"Pex16"	1339.995384	0.729025598	0.18409051	3.960147641	7.49e-05	0.009458593
"Hsd17b12"	4717.879444	0.317085034	0.092597099	3.424351686	0.000616268	0.046525492
"Bdnf"	22.91277094	5.30340031	1.460133164	3.632134685	0.000281086	0.026262161
"Lin7c"	4404.970718	-0.26856634	0.08417604	-3.190531908	0.001420112	0.084264937
"A430105I19Rik"	1131.202267	0.526559131	0.155187037	3.393061305	0.000691162	0.050380324
"Chp1"	7179.431931	0.513863114	0.133659618	3.844565197	0.000120766	0.013525034
"B2m"	27168.54853	0.506320624	0.127136617	3.982492489	6.82e-05	0.009080845
"Map1lc3a"	5166.584714	0.417713399	0.127023025	3.288485677	0.001007279	0.065768713
"Trp53inp2"	7717.19268	1.719515471	0.284679956	6.040170495	1.54e-09	1.53e-06
"Pltp"	4798.760669	0.568536605	0.159405885	3.566597343	0.000361647	0.032358752
"Atp9a"	8139.89066	0.3244836	0.080880639	4.011882229	6.02e-05	0.008342235
"Ctsz"	6591.713123	0.418422524	0.086901744	4.814892111	1.47e-06	0.000451813
"Pde7a"	1011.070298	1.069598048	0.188681996	5.668787006	1.44e-08	8.39e-06
"Tsc22d2"	1367.746786	0.586087899	0.148187722	3.955036839	7.65e-05	0.00951528
"S100a8"	35.66712927	5.009464116	1.321508728	3.790715878	0.000150214	0.016180026
"S100a11"	5313.710536	0.542038652	0.122696473	4.417719911	9.97e-06	0.00219069
"2010016I18Rik"	29.94627919	-6.376793954	1.367002337	-4.664801064	3.09e-06	0.000831042
"Lrrc39"	168.3286713	1.36099849	0.394277897	3.451876202	0.000556703	0.042599122
"Bcar3"	4344.466286	0.480932683	0.116994564	4.110726725	3.94e-05	0.006233612
"Gar1"	477.1102671	0.967391044	0.223869391	4.321229619	1.55e-05	0.003123746
"Pla2g12a"	1101.919196	0.673315873	0.158642118	4.244244097	2.19e-05	0.004075951
